city,state_id,county_name,population,density,zips
Red Bay,AL,Franklin,3086,122,35582
Alexandria,AL,Calhoun,4202,145,36265 36250
Uniontown,AL,Perry,2320,59,36786
Florence,AL,Lauderdale,78112,581,35633 35630 35631 35632
Good Hope,AL,Cullman,2305,112,35057 35055 35077
Dozier,AL,Crenshaw,325,42,36028
Minor,AL,Jefferson,1008,555,35224
La Fayette,AL,Chambers,2944,128,36862
Florala,AL,Covington,1913,70,36442
Bucks,AL,Mobile,49,48,36512 36560
Westover,AL,Shelby,1682,34,35078 35147 35185
Blue Ridge,AL,Elmore,1603,79,36093
Snead,AL,Blount,840,58,35952
Leroy,AL,Washington,690,22,36548
Banks,AL,Pike,168,32,36005
Auburn,AL,Lee,89577,410,36849 36832 36830 36831
Pine Hill,AL,Wilcox,881,89,36769
Moulton,AL,Lawrence,2740,209,35650
Edgewater,AL,Jefferson,813,258,35224
Gurley,AL,Madison,781,84,35748
Coats Bend,AL,Etowah,1644,74,35901
Spruce Pine,AL,Franklin,172,71,35585 35581
Sims Chapel,AL,Washington,117,7,36553
Perdido Beach,AL,Baldwin,625,203,36530
Yellow Bluff,AL,Wilcox,170,141,36769
Saraland,AL,Mobile,14576,182,36571
East Point,AL,Cullman,175,70,35058 35055
Ider,AL,DeKalb,717,50,35981 35978
West Point,AL,Cullman,598,67,35057 35179
Douglas,AL,Marshall,768,87,35957 35980 35964
Hayden,AL,Blount,1348,129,35180 35079
Phil Campbell,AL,Franklin,1253,119,35581
Weogufka,AL,Coosa,286,13,35183
Elba,AL,Coffee,3875,97,36323
Forestdale,AL,Jefferson,10118,578,35214 35005 35231
Hobson City,AL,Calhoun,764,282,36203 36201
Weaver,AL,Calhoun,3064,341,36277
Broomtown,AL,Cherokee,151,12,35973
Newville,AL,Henry,513,49,36353
Crossville,AL,DeKalb,1847,85,35962
Leighton,AL,Colbert,708,277,35646
Piedmont,AL,Calhoun,3471,181,36272
Phenix City,AL,Russell,36219,499,36869 36867 36868
Tillmans Corner,AL,Mobile,18150,540,36582 36619
Orange Beach,AL,Baldwin,6029,158,36561 36530
Elmore,AL,Elmore,1306,80,36022 36025
Shoal Creek,AL,Shelby,1376,105,35242 35094
West Blocton,AL,Bibb,1255,100,35184
Cherokee,AL,Colbert,1005,175,35616
Fairhope,AL,Baldwin,20935,582,36532
Attalla,AL,Etowah,5827,322,35954
Dayton,AL,Marengo,47,18,36738 36748
Hueytown,AL,Jefferson,15460,303,35023 35061
Daphne,AL,Baldwin,69065,583,36527 36526
Gadsden,AL,Etowah,61656,366,35901 35903 35904 35902
Mobile,AL,Mobile,318084,526,36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36571 36601 36628 36633 36640 36641 36644 36652 36660 36670 36675 36689 36691
Fyffe,AL,DeKalb,1018,89,35971
Toxey,AL,Choctaw,128,72,36921
Kinsey,AL,Houston,3220,69,36303 36345
Needham,AL,Choctaw,88,59,36915 36921
Hollis Crossroads,AL,Cleburne,592,18,36264 36258
Carlisle-Rockledge,AL,Etowah,2425,57,35956 35954
Stapleton,AL,Baldwin,1568,56,36578
Peterman,AL,Monroe,161,147,36471
Ariton,AL,Dale,739,56,36311
Opelika,AL,Lee,30240,195,36804 36801 36803
Fultondale,AL,Jefferson,9190,290,35217 35119 35068
Vina,AL,Franklin,358,28,35593
