city,state_id,county_name,population,density,zips
South Creek,WA,Pierce,2500,125,98580 98387 98338
Roslyn,WA,Kittitas,947,84,98941 98068 98925
Sprague,WA,Lincoln,441,163,99032
Gig Harbor,WA,Pierce,9507,622,98332 98335
Lake Cassidy,WA,Snohomish,3591,131,98223 98258 98270
Tenino,WA,Thurston,1830,491,98589
Jamestown,WA,Clallam,289,191,98382
Three Lakes,WA,Snohomish,3390,112,98290
Curlew Lake,WA,Ferry,573,50,99166
Chain Lake,WA,Snohomish,4280,156,98290
Pateros,WA,Okanogan,701,536,98846
Rosburg,WA,Wahkiakum,385,6,98643
Parkland,WA,Pierce,37019,1653,98444 98445 98447 98448
Birch Bay,WA,Whatcom,8642,208,98230
Ashford,WA,Pierce,162,30,98304
Navy Yard City,WA,Kitsap,3154,1978,98312
Omak,WA,Okanogan,8130,478,98841
Farmington,WA,Whitman,154,164,99128
Buckley,WA,Pierce,4819,482,98321
Cathcart,WA,Snohomish,2506,250,98296
Poulsbo,WA,Kitsap,10670,869,98370
Anacortes,WA,Skagit,17955,559,98221
Maplewood,WA,Pierce,5340,248,98332
Creston,WA,Lincoln,226,212,99117
Rockford,WA,Spokane,477,271,99030
Wishram,WA,Klickitat,438,131,98673
Centralia,WA,Lewis,41643,883,98531
South Hill,WA,Pierce,56379,1185,98375 98374 98373
Longview Heights,WA,Cowlitz,3678,337,98632
Erlands Point-Kitsap Lake,WA,Kitsap,2973,655,98312
Amboy,WA,Clark,2027,78,98601 98675
St. John,WA,Whitman,561,322,99171
Dallesport,WA,Klickitat,1739,99,98617 98635
Ketron Island,WA,Pierce,0,0,98388
Mesa,WA,Franklin,503,119,99326 99343
Fife,WA,Pierce,10154,684,98424
Moses Lake North,WA,Grant,3787,264,98837
Chewelah,WA,Stevens,2637,341,99109
Grayland,WA,Grays Harbor,756,42,98547
Kittitas,WA,Kittitas,1491,729,98934 98926
Camano,WA,Island,15989,155,98282
Monroe North,WA,Snohomish,1704,282,98290 98272
North Bonneville,WA,Skamania,999,154,98648 98639
Klickitat,WA,Klickitat,358,147,98628
Loon Lake,WA,Stevens,784,92,99148
Newport,WA,Pend Oreille,2635,624,99156
Mead,WA,Spokane,6859,364,99021
Cashmere,WA,Chelan,4864,1061,98815
Aberdeen Gardens,WA,Grays Harbor,283,67,98520
Ocean Shores,WA,Grays Harbor,5553,268,98569
Basin City,WA,Franklin,1281,155,99343
Wilkeson,WA,Pierce,507,420,98396
Meadow Glade,WA,Clark,2895,307,98604
Arlington Heights,WA,Snohomish,2826,129,98223
Uniontown,WA,Whitman,343,143,99179
Oakesdale,WA,Whitman,442,164,99158
West Side Highway,WA,Cowlitz,5902,901,98626 98632
Conconully,WA,Okanogan,208,300,98819
Latah,WA,Spokane,187,225,99018
Elma,WA,Grays Harbor,3092,468,98541
Tieton,WA,Yakima,1294,570,98947
Southworth,WA,Kitsap,2280,260,98366 98384 98386
Danville,WA,Ferry,19,41,99121
Toppenish,WA,Yakima,14441,1627,98948
River Road,WA,Clallam,952,1055,98382
Geneva,WA,Whatcom,2632,958,98229
Yakima,WA,Yakima,133233,1302,98901 98903 98902 98908 98904 98907
Moxee,WA,Yakima,4032,670,98936 98901
Edmonds,WA,Snohomish,42209,1829,98026 98020
Kalama,WA,Cowlitz,3794,297,98625
Laurier,WA,Ferry,0,0,99146
Vashon,WA,King,9635,100,98070 98013
Country Homes,WA,Spokane,5730,1339,99208 99218 99251
Darrington,WA,Snohomish,1406,306,98241
Metaline Falls,WA,Pend Oreille,245,446,99153
Lyle,WA,Klickitat,548,299,98635
Cascade Valley,WA,Grant,1797,232,98837
Spangle,WA,Spokane,307,339,99031
Methow,WA,Okanogan,78,44,98834
Waterville,WA,Douglas,1198,533,98858
Lake Roesiger,WA,Snohomish,657,64,98290
Milton,WA,Pierce,8230,1185,98003 98354
Krupp,WA,Grant,50,32,98832
Alderton,WA,Pierce,3303,240,98390 98372 98374
DuPont,WA,Pierce,9487,629,98327
Edgewood,WA,Pierce,11213,515,98372 98371
North Puyallup,WA,Pierce,1848,684,98372
Pacific Beach,WA,Grays Harbor,538,171,98571
Manson,WA,Chelan,1532,472,98831
Brewster,WA,Okanogan,2343,785,98812
Battle Ground,WA,Clark,20576,938,98604
Shoreline,WA,King,56189,1864,98155 98177 98133 98160
Cosmopolis,WA,Grays Harbor,1624,452,98520 98563 98537
Airway Heights,WA,Spokane,8166,524,99224 99001
Grandview,WA,Yakima,18858,670,98935 98930
Inchelium,WA,Ferry,413,6,99138
Grand Coulee,WA,Grant,1042,330,99133
Union,WA,Mason,272,64,98592
Torboy,WA,Ferry,48,19,99166
Kelso,WA,Cowlitz,12130,580,98626 98632
Westport,WA,Grays Harbor,2051,214,98595
Junction City,WA,Grays Harbor,10,2,98520
Lake Ketchum,WA,Snohomish,894,166,98292
West Pasco,WA,Franklin,1233,280,99301
Des Moines,WA,King,31238,1875,98148 98198
Davenport,WA,Lincoln,1708,395,99122
Seattle,WA,King,3643765,3336,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194
Lake Stickney,WA,Snohomish,9667,2441,98087 98204
Carnation,WA,King,2164,725,98014
Everett,WA,Snohomish,110079,1278,98207 98204 98205 98203 98201 98208 98275 98206 98213
Warden,WA,Grant,2716,366,98857
Palouse,WA,Whitman,1055,388,99161
Terrace Heights,WA,Yakima,7849,377,98901
Clarkston,WA,Asotin,7396,1430,99403
Elmer City,WA,Okanogan,247,401,99124 99116
Mossyrock,WA,Lewis,789,444,98564
Summit View,WA,Pierce,7421,885,98375 98373
Suquamish,WA,Kitsap,4108,232,98392 98370
Newcastle,WA,King,11681,1014,98059 98056
Stanwood,WA,Snohomish,7161,937,98292
Kapowsin,WA,Pierce,391,36,98360 98338 98344
Donald,WA,Yakima,0,0,98951
Altoona,WA,Wahkiakum,61,4,98643
South Prairie,WA,Pierce,443,441,98385
Eschbach,WA,Yakima,377,123,98908
Indianola,WA,Kitsap,3520,258,98342 98346 98370
Reardan,WA,Lincoln,582,451,99029
Cowiche,WA,Yakima,960,708,98923
Sunday Lake,WA,Snohomish,666,148,98292
Rocky Point,WA,Kitsap,1449,790,98312
Burbank,WA,Walla Walla,3398,99,99323
Lakeland North,WA,King,12487,1452,98001
Granite Falls,WA,Snohomish,6565,632,98252
Camas,WA,Clark,23331,646,98607
Skokomish,WA,Mason,755,43,98584
Cusick,WA,Pend Oreille,217,161,99119
Rosalia,WA,Whitman,567,348,99170
Longbranch,WA,Pierce,3236,62,98349 98351
Granger,WA,Yakima,3542,841,98932
North Fort Lewis,WA,Pierce,5009,328,98433
Tampico,WA,Yakima,465,46,98903
Tukwila,WA,King,20144,847,98108 98178 98168 98188 98138 98190
Cathlamet,WA,Wahkiakum,553,428,98612
Wenatchee,WA,Chelan,71512,1314,98801
Port Ludlow,WA,Jefferson,2642,88,98365
Castle Rock,WA,Cowlitz,2833,433,98611
Glacier,WA,Whatcom,102,13,98244
Index,WA,Snohomish,205,384,98256
Republic,WA,Ferry,1062,274,99166
Bellevue,WA,King,144444,1666,98004 98005 98006 98007 98008 98009 98015
Malo,WA,Ferry,72,236,99150
Anderson Island,WA,Pierce,1292,64,98303
University Place,WA,Pierce,33401,1547,98466 98467 98464
Montesano,WA,Grays Harbor,8494,147,98563
Rainier,WA,Thurston,2126,473,98576
Fords Prairie,WA,Lewis,1812,188,98531
Roy,WA,Pierce,820,652,98580
Oso,WA,Snohomish,212,29,98223
Marblemount,WA,Skagit,0,0,98267
Elk Plain,WA,Pierce,14280,716,98387 98338
Burlington,WA,Skagit,8783,792,98233
Bangor Base,WA,Kitsap,6358,221,98315
Beaux Arts Village,WA,King,326,1524,98004
Port Gamble Tribal Community,WA,Kitsap,920,83,98346
Olympia,WA,Thurston,196078,1092,98501 98502 98506 98504 98507 98508 98511
East Wenatchee,WA,Douglas,13983,1425,98802
Addy,WA,Stevens,96,105,99101
Minnehaha,WA,Clark,11767,2056,98661
Bryn Mawr-Skyway,WA,King,18365,2500,98178
Satsop,WA,Grays Harbor,572,31,98583 98541
Riverbend,WA,King,2241,294,98045
Easton,WA,Kittitas,395,47,98925
Silverdale,WA,Kitsap,20664,631,98311 98370 98383
Napavine,WA,Lewis,1893,252,98565 98532
Lochsloy,WA,Snohomish,3188,164,98258
Ellensburg,WA,Kittitas,23471,1022,98926
McKenna,WA,Pierce,978,347,98580 98558
Fairfield,WA,Spokane,616,387,99012
Northwest Stanwood,WA,Snohomish,144,77,98292
Mansfield,WA,Douglas,339,401,98830
Duvall,WA,King,7813,1230,98019
Markham,WA,Grays Harbor,238,82,98520
Waller,WA,Pierce,8064,391,98404 98371 98443
Longview,WA,Cowlitz,65619,976,98632
Richland,WA,Benton,56243,556,99352 99354
Rosedale,WA,Pierce,4459,379,98332
Vancouver,WA,Clark,175673,1386,98684 98664 98665 98660 98661 98662 98663 98682 98683 98687
Bethel,WA,Kitsap,3673,448,98367
Custer,WA,Whatcom,149,31,98248 98240
Lofall,WA,Kitsap,2211,427,98370
Fairwood,WA,King,19531,1592,98058
Winlock,WA,Lewis,1354,405,98596
Sumner,WA,Pierce,10093,517,98390
Cottage Lake,WA,King,23941,406,98072 98077
Puget Island,WA,Wahkiakum,899,45,98612
Woods Creek,WA,Snohomish,5826,160,98272
Washougal,WA,Clark,15711,1108,98671
Sisco Heights,WA,Snohomish,2810,86,98223
Canterwood,WA,Pierce,3220,576,98332
Wapato,WA,Yakima,7686,1646,98951
Lower Elochoman,WA,Wahkiakum,160,40,98612
Lake Goodwin,WA,Snohomish,3879,374,98223 98292 98271
Banks Lake South,WA,Grant,270,42,99115
Kent,WA,King,128458,1470,98031 98030 98032 98042 98035 98064 98089
Bickleton,WA,Klickitat,67,5,99322
Ryderwood,WA,Cowlitz,332,797,98581
Cavalero,WA,Snohomish,5284,1243,98258 98205
La Conner,WA,Skagit,3475,905,98257
Martha Lake,WA,Snohomish,18566,1560,98087 98012 98208
George,WA,Grant,507,151,98848 98824
Snohomish,WA,Snohomish,10089,1119,98290 98291
Eatonville,WA,Pierce,3038,633,98328
Carson,WA,Skamania,2688,216,98610
Almira,WA,Lincoln,276,205,99103
Nooksack,WA,Whatcom,1560,852,98247 98276
Mount Vista,WA,Clark,8525,628,98642 98686
High Bridge,WA,Snohomish,3028,167,98296 98272
Lakeland South,WA,King,13982,1087,98001 98003
Kenmore,WA,King,22867,1438,98028
Neah Bay,WA,Clallam,994,163,98357
Cliffdell,WA,Yakima,80,17,98937
Port Angeles East,WA,Clallam,3627,371,98362
Burien,WA,King,51671,1983,98146 98148 98168 98166 98062
Taholah,WA,Grays Harbor,714,79,98587
Wauna,WA,Pierce,4412,268,98329
Connell,WA,Franklin,5360,275,99326
Disautel,WA,Okanogan,22,2,98841
Santiago,WA,Grays Harbor,26,6,98587
Orting,WA,Pierce,7983,1138,98360
Colville,WA,Stevens,5064,596,99114
Marysville,WA,Snohomish,166541,1289,98271 98270
Walla Walla,WA,Walla Walla,57779,938,99362
Zillah,WA,Yakima,3125,699,98953
Curlew,WA,Ferry,149,75,99118
Key Center,WA,Pierce,3810,100,98349 98329 98394 98395
Hoodsport,WA,Mason,331,121,98548
Spanaway,WA,Pierce,30528,1344,98387 98445
Mattawa,WA,Grant,5122,2388,99349
Clallam Bay,WA,Clallam,366,249,98326
Prairie Ridge,WA,Pierce,12733,1202,98360 98391
Rockport,WA,Skagit,76,80,98283
Stansberry Lake,WA,Pierce,2747,510,98329
Copalis Beach,WA,Grays Harbor,559,58,98535 98536
Frederickson,WA,Pierce,21737,725,98387 98375 98446
Asotin,WA,Asotin,1295,483,99402
Mill Creek,WA,Snohomish,20832,1747,98012 98082
Bell Hill,WA,Clallam,875,127,98382
Green Bluff,WA,Spokane,544,27,99021 99005
Clayton,WA,Stevens,361,108,99110
Puyallup,WA,Pierce,41001,1119,98372 98371 98374 98373 98352
Hockinson,WA,Clark,5267,147,98606
Lake McMurray,WA,Skagit,134,63,98274
Bucoda,WA,Thurston,583,401,98530
Issaquah,WA,King,37487,1192,98029 98027
Odessa,WA,Lincoln,876,417,99159
Hazel Dell,WA,Clark,21449,1718,98665
McMillin,WA,Pierce,1673,390,98360 98374
Wilbur,WA,Lincoln,839,249,99185
Skamokawa Valley,WA,Wahkiakum,300,4,98647
Centerville,WA,Klickitat,109,12,98613
Nile,WA,Yakima,98,49,98937
Spokane Valley,WA,Spokane,97847,1001,99206 99016 99212 99216 99037 99211 99213 99215
Woodland,WA,Cowlitz,6531,575,98674
Lewisville,WA,Clark,1503,107,98604
Vantage,WA,Kittitas,18,21,98950
Gorst,WA,Kitsap,257,160,98312 98367
Lake Morton-Berrydale,WA,King,11201,351,98092 98042
Ione,WA,Pend Oreille,459,330,99139
Bothell West,WA,Snohomish,20472,1918,98021 98036 98012
Vaughn,WA,Pierce,342,57,98329 98394
Black Diamond,WA,King,4436,262,98010
Ferndale,WA,Whatcom,14026,775,98248
Acme,WA,Whatcom,183,11,98220
White Center,WA,King,15300,2614,98106 98146 98168
Fairchild AFB,WA,Spokane,2960,172,99011
Pacific,WA,King,7184,1149,98001 98047
Glenwood,WA,Klickitat,157,64,98619
Colfax,WA,Whitman,2811,299,99111
Silvana,WA,Snohomish,0,0,98292
Forks,WA,Clallam,4274,359,98331
Kirkland,WA,King,88630,1921,98034 98033 98011 98083
Okanogan,WA,Okanogan,2571,493,98840
Kayak Point,WA,Snohomish,1693,119,98292
Union Hill-Novelty Hill,WA,King,22109,352,98053 98077
Outlook,WA,Yakima,300,893,98938
Lake Tapps,WA,Pierce,13091,409,98391
Cohassett Beach,WA,Grays Harbor,712,211,98595
Tonasket,WA,Okanogan,1126,459,98855
Sunnyside,WA,Yakima,17927,843,98944
Lakeview,WA,Grant,881,301,98851
Carbonado,WA,Pierce,701,649,98323 98396
Pullman,WA,Whitman,33276,1206,99164 99163
Blyn,WA,Clallam,22,1,98382
Brinnon,WA,Jefferson,703,28,98320
Friday Harbor,WA,San Juan,2407,430,98250
Orchards,WA,Clark,21299,1521,98682
Purdy,WA,Pierce,1087,178,98332
Tekoa,WA,Whitman,809,254,99033
Tanner,WA,King,905,91,98045
Thorp,WA,Kittitas,297,93,98946
Artondale,WA,Pierce,12937,372,98335
Liberty Lake,WA,Spokane,9893,621,99019 99016
Cheney,WA,Spokane,12421,1106,99004
Sammamish,WA,King,64548,1219,98029 98075 98074
Cle Elum,WA,Kittitas,3768,179,98943 98922
Fern Prairie,WA,Clark,2611,200,98607
Waverly,WA,Spokane,108,101,99012 99039
Lakewood,WA,Pierce,60296,1362,98499 98498 98496 98497
Lake Marcel-Stillwater,WA,King,1220,368,98014
Central Park,WA,Grays Harbor,2741,300,98520
Bridgeport,WA,Douglas,2555,961,98813
Raft Island,WA,Pierce,341,475,98335
Larch Way,WA,Snohomish,4117,1428,98087 98037
Lake Bosworth,WA,Snohomish,654,74,98290 98252
Barberton,WA,Clark,6719,600,98662 98686 98666 98668
Sekiu,WA,Clallam,50,150,98381
Brier,WA,Snohomish,6884,1206,98036
Spokane,WA,Spokane,403043,1218,99201 99203 99202 99205 99204 99207 99208 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99258 99260
Fall City,WA,King,1903,258,98024
Pasco,WA,Franklin,73013,832,99301 99302
Lyman,WA,Skagit,468,269,98263 98284
Oakville,WA,Grays Harbor,684,498,98568
Dash Point,WA,Pierce,1007,613,98422
Herron Island,WA,Pierce,69,55,98349
West Clarkston-Highland,WA,Asotin,5895,816,99403
Royal City,WA,Grant,2205,639,99357
Venersborg,WA,Clark,4196,149,98604
Hoquiam,WA,Grays Harbor,8500,344,98550
Willapa,WA,Pacific,204,283,98577
Quilcene,WA,Jefferson,432,18,98376
Freeland,WA,Island,1698,168,98249
McCleary,WA,Grays Harbor,1691,318,98557
Roosevelt,WA,Klickitat,107,10,99356
Long Beach,WA,Pacific,1413,395,98631
Trout Lake,WA,Klickitat,654,36,98650
Coulee Dam,WA,Okanogan,1079,576,99116
Swede Heaven,WA,Snohomish,1030,55,98223
Pine Grove,WA,Ferry,111,87,99166
Langley,WA,Island,1124,430,98260
Sedro-Woolley,WA,Skagit,11838,1057,98284
Hatton,WA,Adams,101,104,99344
Entiat,WA,Chelan,1223,216,98822
Bainbridge Island,WA,Kitsap,24522,342,98110 98061
Auburn,WA,King,80776,1057,98001 98002 98092
Ocean City,WA,Grays Harbor,168,19,98569
White Swan,WA,Yakima,973,140,98952
Felida,WA,Clark,8065,1077,98685
Lacey,WA,Thurston,49748,1132,98503 98516 98509
Gold Bar,WA,Snohomish,2301,824,98251
Clyde Hill,WA,King,3318,1213,98004
Upper Elochoman,WA,Wahkiakum,70,18,98612
Marcus,WA,Stevens,183,316,99126 99151
Canyon Creek,WA,Snohomish,3319,209,98223 98252
Malone,WA,Grays Harbor,543,23,98559 98541
Bothell East,WA,Snohomish,10424,1931,98021 98012
Yarrow Point,WA,King,1126,1190,98004
Steptoe,WA,Whitman,183,31,99111 99174
West Richland,WA,Benton,14596,254,99320 99353
Orient,WA,Ferry,132,117,99160
Federal Way,WA,King,96690,1679,98023 98003 98063 98093
Pe Ell,WA,Lewis,653,426,98572 98522
Deep River,WA,Wahkiakum,151,4,98638
Bothell,WA,King,45533,1287,98021 98011 98041
South Wenatchee,WA,Chelan,2057,683,98801
Snoqualmie Pass,WA,Kittitas,235,31,98068
Hartline,WA,Grant,154,178,99135
Lake Forest Park,WA,King,13392,1469,98155
Crocker,WA,Pierce,1332,71,98360
Elbe,WA,Pierce,53,356,98330
Ravensdale,WA,King,1579,136,98051 98038
Arlington,WA,Snohomish,19212,756,98223
McChord AFB,WA,Pierce,3337,216,98439 98438
Lebam,WA,Pacific,101,26,98577 98554
Lynden,WA,Whatcom,17340,1019,98264
Coupeville,WA,Island,1928,586,98239
Prescott,WA,Walla Walla,304,292,99348
South Bend,WA,Pacific,1651,394,98586 98577
Mabton,WA,Yakima,2532,1064,98935
North Bend,WA,King,6821,598,98045
Grapeview,WA,Mason,982,103,98524 98546
Garfield,WA,Whitman,614,252,99130
Rochester,WA,Thurston,2923,484,98579
Dayton,WA,Columbia,2637,658,99328
Algona,WA,King,3185,933,98001 98047
Mineral,WA,Lewis,193,111,98355
Barstow,WA,Ferry,119,82,99141
Moclips,WA,Grays Harbor,0,0,98571 98562
Bellingham,WA,Whatcom,126015,1241,98229 98225 98226 98228
Vader,WA,Lewis,643,266,98593
North Lynnwood,WA,Snohomish,20626,2549,98087 98037
Tracyton,WA,Kitsap,5937,1195,98311 98310 98393
White Salmon,WA,Klickitat,2552,657,98672
Peaceful Valley,WA,Whatcom,4196,95,98295 98244 98266
East Renton Highlands,WA,King,11401,393,98027 98059 98038
Metaline,WA,Pend Oreille,178,227,99152
Deming,WA,Whatcom,240,17,98247 98244
Medical Lake,WA,Spokane,4818,567,99022
Aberdeen,WA,Grays Harbor,29089,585,98520
Chehalis,WA,Lewis,7533,500,98532
Onalaska,WA,Lewis,709,171,98570
Toledo,WA,Lewis,751,738,98591
Everson,WA,Whatcom,4709,797,98247
Belfair,WA,Mason,4063,212,98528
Lynnwood,WA,Snohomish,38273,1890,98037 98036 98046
Colton,WA,Whitman,467,292,99113
Malden,WA,Whitman,209,122,99149
Ames Lake,WA,King,1526,368,98053 98014
Wilson Creek,WA,Grant,212,85,98860
North Yelm,WA,Thurston,2887,334,98597
Mirrormont,WA,King,3682,136,98027
Whidbey Island Station,WA,Island,1938,113,98277 98278
Town and Country,WA,Spokane,5001,1607,99208
Tokeland,WA,Pacific,330,248,98590
Snoqualmie,WA,King,26054,725,98065
Bremerton,WA,Kitsap,216480,556,98312 98314 98310 98367 98337
East Cathlamet,WA,Wahkiakum,503,113,98612
Fort Lewis,WA,Pierce,13920,525,98439 98433
Salmon Creek,WA,Clark,21068,1281,98686 98685
Skykomish,WA,King,216,267,98288
Tacoma,WA,Pierce,213418,1657,98422 98421 98402 98403 98404 98405 98408 98409 98406 98407 98465 98416 98418 98444 98401 98411 98412 98413 98415 98417 98419 98471 98481 98490
Monroe,WA,Snohomish,18789,1183,98272
Loomis,WA,Okanogan,117,52,98827
Pomeroy,WA,Garfield,1388,303,99347
Brush Prairie,WA,Clark,2783,139,98606 98662
Silver Firs,WA,Snohomish,22937,1292,98296 98012 98208
Nespelem,WA,Okanogan,313,622,99155
Meadowdale,WA,Snohomish,3049,1119,98026
Shadow Lake,WA,King,2655,197,98058 98038
LaCrosse,WA,Whitman,324,146,99143
Concrete,WA,Skagit,729,241,98237
Sumas,WA,Whatcom,1464,384,98295
Ruston,WA,Pierce,828,1202,98407
La Center,WA,Clark,3171,513,98629 98642
Marrowstone,WA,Jefferson,1084,66,98358
Chelan Falls,WA,Chelan,86,118,98817
Lake Cavanaugh,WA,Skagit,179,89,98274
Duluth,WA,Clark,1379,89,98642
Sequim,WA,Clallam,20750,432,98382
Benton City,WA,Benton,4591,533,99320
Moses Lake,WA,Grant,37774,499,98837
Fircrest,WA,Pierce,6794,1665,98466
Othello,WA,Adams,12375,790,99344
Mercer Island,WA,King,25261,1528,98040
Enumclaw,WA,King,11784,878,98022
Chico,WA,Kitsap,2635,444,98312 98383
Enetai,WA,Kitsap,2231,838,98310
Hunts Point,WA,King,434,545,98004
Clinton,WA,Island,811,309,98236
Hat Island,WA,Snohomish,48,26,98201
Marietta-Alderwood,WA,Whatcom,4495,294,98225 98226
Waitsburg,WA,Walla Walla,1195,388,99361
Sunnyslope,WA,Chelan,3641,175,98801
South Cle Elum,WA,Kittitas,560,544,98943 98922
Selah,WA,Yakima,7859,662,98942
Lind,WA,Adams,556,193,99341
Five Corners,WA,Clark,18405,1221,98662
Winthrop,WA,Okanogan,439,182,98862
Normandy Park,WA,King,6649,1027,98166
Home,WA,Pierce,1375,83,98349
Graham,WA,Pierce,26939,297,98338
Yacolt,WA,Clark,1735,1210,98675
Packwood,WA,Lewis,230,89,98361
Queets,WA,Grays Harbor,199,55,98331
Finley,WA,Benton,6015,201,99337
Northport,WA,Stevens,296,202,99157
Medina,WA,King,3267,879,98039
Browns Point,WA,Pierce,1122,1076,98422
Summit,WA,Pierce,7876,597,98371 98373 98446
Albion,WA,Whitman,608,598,99163 99102
Sudden Valley,WA,Whatcom,7621,470,98229
Bunk Foss,WA,Snohomish,3604,359,98290 98205
Gleed,WA,Yakima,2474,176,98937 98908
Maryhill,WA,Klickitat,73,10,98620
Oyehut,WA,Grays Harbor,0,0,98550
Alder,WA,Pierce,133,15,98328
Ridgefield,WA,Clark,7117,422,98642
Bryant,WA,Snohomish,1990,125,98223
Nisqually Indian Community,WA,Thurston,690,94,98513
Porter,WA,Grays Harbor,222,9,98541
Kettle Falls,WA,Stevens,1611,585,99141
Chelan,WA,Chelan,6078,246,98816
Edison,WA,Skagit,156,104,98232
Neilton,WA,Grays Harbor,373,14,98552 98575 98566
Fox Island,WA,Pierce,3848,286,98333
Renton,WA,King,101379,1669,98059 98058 98057 98056 98055
Baring,WA,King,173,64,98224
Hobart,WA,King,6736,138,98038 98025
Wallula,WA,Walla Walla,329,1212,99363
Touchet,WA,Walla Walla,437,138,99360
Leavenworth,WA,Chelan,3332,580,98826
Fobes Hill,WA,Snohomish,2779,230,98290
Harrington,WA,Lincoln,411,404,99134
Port Orchard,WA,Kitsap,13997,559,98366 98367
Alderwood Manor,WA,Snohomish,8817,1711,98036
Kennewick,WA,Benton,232915,1147,99337 99336 99338
Ahtanum,WA,Yakima,3076,171,98903 98908 98909
Wilderness Rim,WA,King,1443,895,98045
Machias,WA,Snohomish,886,139,98258 98290
Bingen,WA,Klickitat,729,452,98605
Four Lakes,WA,Spokane,403,46,99004 99014
Springdale,WA,Stevens,293,100,99173
Washtucna,WA,Adams,204,120,99371
Covington,WA,King,20916,1363,98042
Allyn,WA,Mason,2650,640,98524
North Sultan,WA,Snohomish,241,157,98294
Union Gap,WA,Yakima,6161,426,98903
Shelton,WA,Mason,19296,675,98584
Chinook,WA,Pacific,300,114,98624 98614
Blaine,WA,Whatcom,5311,365,98230 98231
Port Hadlock-Irondale,WA,Jefferson,3765,217,98325 98368 98339
Burley,WA,Kitsap,1941,157,98359 98367 98322
Mount Vernon,WA,Skagit,69528,1099,98274 98273
Electric City,WA,Grant,1001,189,99123 99133
Ronald,WA,Kittitas,284,118,98940
Nespelem Community,WA,Okanogan,259,4,99155
Amanda Park,WA,Grays Harbor,119,5,98526
Clarkston Heights-Vineland,WA,Asotin,6453,413,99403
Boulevard Park,WA,King,3916,1264,98108 98168
Big Lake,WA,Skagit,1784,182,98274
Boyds,WA,Ferry,76,150,99141
Parkwood,WA,Kitsap,6559,972,98366
Deer Park,WA,Spokane,3868,229,99006
Humptulips,WA,Grays Harbor,277,11,98552
SeaTac,WA,King,29140,1126,98158 98148 98198 98168 98188 98131
Maple Valley,WA,King,25758,1656,98038
Millwood,WA,Spokane,1784,989,99206 99212
Point Roberts,WA,Whatcom,1251,98,98281
Dixie,WA,Walla Walla,256,182,99329 99361
East Port Orchard,WA,Kitsap,5334,1338,98366
Morton,WA,Lewis,1159,544,98356
Alger,WA,Skagit,235,34,98229 98233 98232 98284
Kahlotus,WA,Franklin,199,182,99335
Fife Heights,WA,Pierce,2185,753,98422 98424
Cherry Grove,WA,Clark,689,112,98604
Clearview,WA,Snohomish,3907,325,98296 98012 98072
Greenwater,WA,Pierce,28,7,98022
Picnic Point,WA,Snohomish,9002,1157,98026 98087
Kendall,WA,Whatcom,37,17,98244 98266
Seabeck,WA,Kitsap,1141,132,98380
Startup,WA,Snohomish,683,64,98294 98293
Steilacoom,WA,Pierce,6337,1215,98388
Lamont,WA,Whitman,74,98,99017
Bay View,WA,Skagit,625,92,98273
Valley,WA,Stevens,171,154,99181
North Marysville,WA,Snohomish,172,51,98223 98271
Brady,WA,Grays Harbor,360,22,98563
May Creek,WA,Snohomish,663,396,98251
Clear Lake,WA,Skagit,990,201,98235 98284 98273
Keller,WA,Ferry,228,9,99140
Redmond,WA,King,64291,1498,98052 98073
Ilwaco,WA,Pacific,945,176,98624
Mountlake Terrace,WA,Snohomish,21337,2021,98043
Parker,WA,Yakima,60,194,98939 98951
Soap Lake,WA,Grant,1579,403,98851
Grand Mound,WA,Thurston,3119,306,98579 98531
Manchester,WA,Kitsap,5447,719,98366
Prairie Heights,WA,Pierce,4610,476,98321
Verlot,WA,Snohomish,457,16,98252
North Omak,WA,Okanogan,685,23,98841
Naches,WA,Yakima,827,472,98937
Summitview,WA,Yakima,1182,180,98908
Clover Creek,WA,Pierce,6831,407,98445 98446
Prosser,WA,Benton,6264,529,99350
Naselle,WA,Pacific,376,63,98638
Rock Island,WA,Douglas,1015,478,98850
Goldendale,WA,Klickitat,3404,454,98620
Maltby,WA,Snohomish,11443,228,98021 98296 98072 98077
Oak Harbor,WA,Island,34663,930,98277
Tanglewilde,WA,Thurston,6205,1658,98503 98516
Endicott,WA,Whitman,305,397,99125
Mill Creek East,WA,Snohomish,20514,1774,98012
Maple Heights-Lake Desire,WA,King,3442,324,98058
Midland,WA,Pierce,8792,1117,98404 98445
Kingston,WA,Kitsap,1875,387,98346
Esperance,WA,Snohomish,3902,2100,98026
Grays River,WA,Wahkiakum,425,8,98621
Sultan,WA,Snohomish,8803,623,98294
La Grande,WA,Pierce,118,10,98328
Ritzville,WA,Adams,1637,363,99169
Malott,WA,Okanogan,592,124,98840 98829
Coulee City,WA,Grant,567,240,99115
Raymond,WA,Pacific,4136,275,98577
Wollochet,WA,Pierce,6291,414,98335
Quincy,WA,Grant,7756,483,98848
Walla Walla East,WA,Walla Walla,1877,558,99362
