Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
LaGrange County,386.7,97.8,37.1
Lake County,626.56,994.1,418.4
LaPorte County,613.26,186.3,81
Lawrence County,451.93,102.7,46.9
Madison County,452.9,291.3,130.7
Marion County,403.01,2279.6,1054.4
Marshall County,449.74,106.1,44.7
Martin County,340.41,30.8,14.3
Miami County,377.39,98.7,41.4
Monroe County,411.32,349.7,149.8
Montgomery County,505.45,75.6,32.8
Morgan County,409.43,170.5,68.7
Newton County,403.44,35.5,15
Noble County,417.43,115.7,48.9
Ohio County,87.43,71.1,32.3
Orange County,408.19,49.8,23
Owen County,387.83,56,26.2
Parke County,449.98,39,18.2
Perry County,386.29,50.7,22.3
Pike County,341.09,38.4,17.2
Porter County,521.78,393,158.3
Posey County,419.33,63.3,27.4
Pulaski County,434.53,30.9,14
Putnam County,482.69,79,30.6
Randolph County,453.31,57.9,26
Ripley County,448.06,64.6,26.8
Rush County,408.46,42.6,18.4
St. Joseph County,461.39,583,250.8
Scott County,192.75,127,54.8
Shelby County,412.76,108.1,46.4
Spencer County,401.43,52.8,22.4
Starke County,312.21,75.6,35.5
Steuben County,322.47,110.7,62.7
Sullivan County,454.12,48,20
Switzerland County,223.44,48.1,22.5
Tippecanoe County,503.24,345.7,142.2
Tipton County,260.57,61.2,26.9
Union County,165.18,46.6,20.1
Vanderburgh County,236.33,769.7,355.5
Vermillion County,259.93,63.1,29.1
Vigo County,410.45,267.4,114.1
Wabash County,420.98,79.7,34.4
Warren County,366.41,23.3,10.1
Warrick County,391.05,155.1,62.9
Washington County,516.6,55,23.8
Wayne County,404.34,171.5,77.8
Wells County,370.25,75.1,31.7
White County,508.68,48.8,25.7
Whitley County,337.91,99.2,42.6
Iowa,56272.81,54.5,23.9
Adair County,570.27,13.5,6.5
Adams County,425.51,9.5,4.7
Allamakee County,658.77,22.4,11.9
Appanoose County,516.24,25.9,13.3
Audubon County,443.41,13.8,6.7
Benton County,718.49,36.4,15.5
Black Hawk County,572.68,231.7,98.8
Boone County,573.64,46,20.6
Bremer County,439.4,55.7,22.8
Buchanan County,573.12,36.7,15.7
Buena Vista County,580.23,35.2,14.3
Butler County,581.76,25.6,11.5
Calhoun County,572.11,17,9
Carroll County,570.27,36.6,16.5
Cass County,564.95,24.7,11.7
Cedar County,581.9,31.9,13.9
Cerro Gordo County,575.12,77.7,39
Cherokee County,577.07,20.9,10
Chickasaw County,505.66,24.7,11.3
Clarke County,431.76,21.5,9.5
Clay County,572.59,29.4,14.2
Clayton County,792.66,23.3,11.6
Clinton County,710.18,70.7,31.3
Crawford County,715.04,23.9,9.7
Dallas County,591.7,112.4,46.3
Davis County,504.85,17.4,7.2
Decatur County,533.48,15.9,7.2
Delaware County,578.95,30.7,13.9
Des Moines County,429.75,96.9,44.5
Dickinson County,403.96,43.8,33.8
Dubuque County,616.63,154,64
Emmet County,402.52,26,12
Fayette County,731.33,28.6,13.1
Floyd County,501.38,32.6,15
Franklin County,582.52,18.4,8.4
Fremont County,516.64,14.6,6.7
Greene County,571.21,16.4,8
Grundy County,501.89,24.8,11
Guthrie County,593.07,18.5,9.7
Hamilton County,577.51,27.2,12.5
Hancock County,573.04,19.9,9.3
Hardin County,569.99,30.8,14.4
Harrison County,701.64,21.4,9.7
Henry County,436.56,46.4,19.1
Howard County,473.61,20.2,9.2
Humboldt County,435.67,22.6,10.8
Ida County,432.05,16.4,7.9
Iowa County,587.49,27.9,12.4
Jackson County,649.61,31.2,14.8
Jasper County,732.96,50.4,22.2
Jefferson County,436.88,38.7,17.4
Johnson County,623.15,213.1,91.1
Jones County,577,35.9,15.5
Keokuk County,579.92,18.1,8.5
Kossuth County,974.32,16,7.7
Lee County,538.87,69.3,31.3
Linn County,724.5,294.6,128.7
Louisa County,417.52,28.3,12.5
Lucas County,434.4,20.7,9.8
Lyon County,587.78,19.7,8.2
Madison County,562.16,27.9,11.7
Mahaska County,573.4,39.2,17.1
Marion County,570.51,60.1,25.1
Marshall County,573.2,71,29.4
Mills County,440.64,34.4,14
Mitchell County,469.56,23,10.3
Monona County,698.93,13.3,6.8
Monroe County,434.3,18.4,9
Montgomery County,425.03,25.3,12.4
Muscatine County,449.13,97.7,40.9
O'Brien County,573.21,25.1,11.6
Osceola County,399.39,16.2,7.5
Page County,535.47,29.8,13.4
Palo Alto County,569.43,16.7,8.2
Plymouth County,863.73,29,12.2
Pocahontas County,578.66,12.7,6.6
Polk County,591.53,750.5,317.6
Pottawattamie County,959.13,98,41.4
Poweshiek County,586.07,32.3,15.3
Ringgold County,538.87,9.6,4.9
Sac County,578.33,18,9.4
Scott County,468.21,360.7,156.8
Shelby County,591.35,20.6,9.4
Sioux County,768.99,43.9,16
Story County,573.65,156.3,64.2
Tama County,722.08,24.6,10.8
Taylor County,534.66,11.9,5.8
Union County,425.8,29.6,14
Van Buren County,490.52,15.6,7.6
Wapello County,436.02,82.5,37.3
Warren County,573.35,81.1,32.2
Washington County,570.92,38.2,16.7
Wayne County,527.15,12.2,6.1
Webster County,718.43,53.1,23.8
Winnebago County,401.72,27.1,13
Winneshiek County,690.14,30.5,12.6
Woodbury County,877.77,117.1,47.5
Worth County,401.94,19,8.9
Wright County,582.24,22.8,11.2
Kansas,82278.36,34.9,15.1
Allen County,505.33,26.7,12.4
Anderson County,583.73,14,6.4
Atchison County,433.82,39.3,16.2
Barber County,1136.17,4.3,2.4
Barton County,900.63,30.9,14.2
Bourbon County,639.09,23.9,11.3
Brown County,572.11,17.5,8.4
Butler County,1446.53,46.1,18.2
Chase County,777.73,3.6,1.9
Chautauqua County,644.77,5.7,3.4
Cherokee County,591.02,36.8,16.8
Cheyenne County,1020.94,2.7,1.5
Clark County,977.18,2.3,1.2
Clay County,655.6,13.2,6.3
Cloud County,717.99,13.3,6.5
Coffey County,654.09,13.7,6.3
Comanche County,789.69,2.4,1.3
Cowley County,1132.43,32.3,14.2
Crawford County,595.01,66.4,30.2
Decatur County,894.15,3.3,2
Dickinson County,851.95,23.3,10.6
Doniphan County,398.28,20.2,9.1
Douglas County,474.64,243.1,102.5
Edwards County,621.97,4.9,2.6
Elk County,650.47,4.5,2.7
Ellis County,900.37,31.6,14.3
Ellsworth County,723.29,9.1,4.5
Finney County,1302.67,28.2,10.2
Ford County,1099.08,30.8,10.9
Franklin County,577.14,45.5,19.5
Geary County,404.49,89.3,37.7
Gove County,1071.76,2.5,1.3
Graham County,898.75,2.9,1.7
Grant County,575.14,13.6,5.1
Gray County,869.3,6.9,2.7
Greeley County,778.45,1.6,0.8
Greenwood County,1152.63,5.9,3.6
Hamilton County,997.63,2.7,1.2
Harper County,802.78,7.5,3.9
Harvey County,540.72,64.3,26.9
Haskell County,577.87,7.4,2.9
Hodgeman County,860.31,2.2,1.1
Jackson County,658.02,20.5,8.8
Jefferson County,556.68,35.9,15.3
Jewell County,914.36,3.4,2.2
Johnson County,479.9,1149.6,478.6
Kearny County,870.98,4.6,1.8
Kingman County,866.66,9.1,4.4
Kiowa County,722.87,3.5,1.7
Labette County,653.12,33.5,15.6
Lane County,717.67,2.4,1.4
Leavenworth County,468.97,164.7,62
Lincoln County,720.46,4.5,2.6
Linn County,606.4,16.3,9.2
Logan County,1073.1,2.6,1.3
Lyon County,855.42,39.8,18
McPherson County,900.6,32.5,14.2
Marion County,953.73,13.4,6.3
Marshall County,905.11,11.2,5.4
Meade County,979.35,4.7,2
Miami County,590.26,57,22.9
Mitchell County,719.16,9.1,4.7
Montgomery County,651.48,55.1,25.8
Morris County,702.89,8.5,4.6
Morton County,729.93,4.4,2
Nemaha County,719.44,14.2,6.4
Neosho County,577.79,28.9,13.1
Ness County,1075.01,2.9,1.6
Norton County,881.3,6.5,2.9
Osage County,719.85,23.1,10.6
Osborne County,894.36,4.3,2.5
Ottawa County,721.34,8.5,3.9
Pawnee County,754.65,9.2,4.2
Phillips County,894.56,6.4,3.4
Pottawatomie County,861.91,25.7,10.3
Pratt County,735.72,13.1,6.1
Rawlins County,1069.58,2.4,1.4
Reno County,1272.11,51.4,22.5
Republic County,720.45,6.9,4
Rice County,727.96,13.9,6.3
Riley County,621.96,116.6,46.3
Rooks County,895.15,5.8,3.1
Rush County,717.97,4.6,2.6
Russell County,899.44,7.9,4.4
Saline County,721.31,77.2,33.5
Scott County,717.66,6.9,3.1
Sedgwick County,1009.12,499.6,212.1
Seward County,640.49,35.9,12.6
Shawnee County,555.73,327.1,145.5
Sheridan County,896.21,2.9,1.4
Sherman County,1056.28,5.7,3
Smith County,896.96,4.3,2.5
Stafford County,794.92,5.6,2.9
Stanton County,680.41,3.3,1.5
Stevens County,727.47,7.9,3.2
Sumner County,1184.95,20.4,9.2
Thomas County,1074.8,7.4,3.3
Trego County,899.63,3.4,1.9
Wabaunsee County,799.62,8.9,4.1
Wallace County,913.71,1.6,0.9
Washington County,898.67,6.5,3.3
Wichita County,718.59,3.1,1.5
Wilson County,575.07,16.5,8.2
Woodson County,505.25,6.6,4.1
Wyandotte County,156.19,1039,440.3
Kentucky,40407.8,109.9,48.8
Adair County,412.4,46,21.1
Allen County,351.86,58,27
Anderson County,204.27,106.1,45.2
Ballard County,273.69,33.4,15.8
Barren County,500,86.5,39.4
Bath County,284,41.6,19.4
Bell County,361.12,79.9,36.6
Boone County,256.46,482.3,187.3
Bourbon County,291.59,69,30.8
Boyd County,162.02,309.9,136.4
Boyle County,182.66,157.8,68.3
Bracken County,208.95,41.3,18.7
Breathitt County,495.27,28.2,12.7
Breckinridge County,585.62,35.4,18.7
Bullitt County,300.26,250.2,98.7
Butler County,431.47,29.8,13.8
Caldwell County,348.15,37.7,18.2
Calloway County,410.7,96.6,46.9
Campbell County,159.42,597,261.2
Carlisle County,198.98,26.9,12.9
Carroll County,137.31,84.1,36.5
Carter County,412.12,67.7,30.1
Casey County,445.74,35.9,16.9
Christian County,724.04,103.1,41.1
Clark County,255.16,141.1,62.2
Clay County,471.09,46.3,18.9
Clinton County,205.42,52.1,26.9
Crittenden County,371.14,25.9,12.7
Cumberland County,310.91,22.5,12.1
Daviess County,476.57,210.9,90.4
Edmonson County,308,40.2,21.4
Elliott County,235.32,33.5,14.4
Estill County,255.61,58,27.1
Fayette County,285.55,1042.8,476.5
Fleming County,351.32,41.2,19
Floyd County,395.71,100.3,46.2
Franklin County,212.01,237.2,111.5
Fulton County,230.62,33.2,16.4
Gallatin County,104.72,84.8,37.4
Garrard County,233.95,73.5,32.4
Grant County,260.77,95.6,38.5
Graves County,556.79,67.3,30.4
Grayson County,511.03,51.8,27.3
Green County,288.79,39.4,18.6
Greenup County,354.45,107.2,47.4
Hancock County,198.89,45.6,19.9
Hardin County,630.14,169.3,69.4
Harlan County,468.15,62.9,29
Harrison County,309.86,61.5,26.8
Hart County,417.85,44.2,20.8
Henderson County,466.28,105.9,46.5
Henry County,291.12,53.9,23.2
Hickman County,253.04,20.2,9.7
Hopkins County,554.42,86.6,39.1
Jackson County,346.51,39.1,18.9
Jefferson County,397.68,1948.1,887.5
Jessamine County,174.5,282.3,112.3
Johnson County,264.14,89.2,40.6
Kenton County,164.35,996.7,430.4
Knott County,352.85,46.5,21.2
Knox County,387.75,82.5,37.5
Larue County,263.63,54.3,23.6
Laurel County,443.69,135.6,58.6
Lawrence County,420.07,38.2,17.5
Lee County,211.26,37.8,16.5
Leslie County,404.45,28.2,13.2
Letcher County,339.03,72.6,34.3
Lewis County,495.38,28.7,13.4
Lincoln County,336.58,74.1,32.4
Livingston County,342.33,30.4,15.4
Logan County,557.03,48.6,22.3
Lyon County,256.53,38.9,22.4
McCracken County,268.17,263.6,124.9
McCreary County,430.95,42.9,17.6
McLean County,256.23,37.8,16.9
Madison County,443.26,189.6,80.1
Magoffin County,309.16,43.2,19.3
Marion County,346.86,57.8,23.9
Marshall County,340.17,104.4,52.3
Martin County,230.6,56.3,22.5
Mason County,246.41,72.8,33.8
Meade County,324.5,93.6,38.5
Menifee County,205.93,31,18.4
Mercer County,253.31,85.7,40
Metcalfe County,291.19,34.9,16.2
Monroe County,332.06,33.3,15.8
Montgomery County,198.86,134.3,59.3
Morgan County,383.79,36.5,15.3
Muhlenberg County,479.4,67.4,29.3
Nelson County,424.08,104,43.3
Nicholas County,196.83,36.6,16.7
Ohio County,596.23,40.6,17.4
Oldham County,196.43,322.2,110.5
Owen County,354.25,30.9,16
Owsley County,198.29,24.1,11.8
Pendleton County,281.92,53.7,22.9
Perry County,342.61,84.5,37.7
Pike County,788.67,82.6,38.5
Powell County,180.12,70.5,31.3
Pulaski County,677.15,95.8,47.8
Robertson County,100.1,22.8,11
Rockcastle County,318.1,53.9,24.3
Rowan County,286.27,83.4,36.1
Russell County,282.88,69.2,39.4
Scott County,285.43,167.4,68.5
Shelby County,385.67,110.8,43.7
Simpson County,236.47,74,31.7
Spencer County,191.66,91.4,35.9
Taylor County,276.82,92,40.8
Todd County,377.06,33.3,14.1
Trigg County,481.33,32.5,17.7
Trimble County,156.22,58.1,25.9
Union County,363.38,43.8,17.9
Warren County,547.56,210.1,87.2
Washington County,301.2,39.4,17
Wayne County,484.16,45.4,23.9
Webster County,335.66,41,17.9
Whitley County,445.12,81.4,34.6
Wolfe County,222.75,33.1,16.5
Woodford County,192.04,132.1,56.7
Louisiana,52378.13,104.9,45.5
Acadia Parish,657.45,94.3,38.8
Allen Parish,765.95,33.8,12.8
Ascension Parish,302.79,369.7,140.6
Assumption Parish,364.53,69.2,30.6
Avoyelles Parish,865.74,50.5,21.7
Beauregard Parish,1165.84,30.8,13
Bienville Parish,822.07,17.7,9.5
Bossier Parish,867.22,139.3,58.7
Caddo Parish,936.82,290.2,127.5
Calcasieu Parish,1094.27,181.2,77.1
Caldwell Parish,540.73,19.1,9.4
Cameron Parish,1936.67,5.3,2.8
Catahoula Parish,739.42,14.7,6.9
Claiborne Parish,767.42,22.8,10.3
Concordia Parish,747.3,29.9,13.5
De Soto Parish,894.59,30.4,14
East Baton Rouge Parish,470.24,966.6,411.4
East Carroll Parish,442.43,18.4,6.9
East Feliciana Parish,455.78,44.7,17.7
Evangeline Parish,679.62,51.3,22.1
Franklin Parish,635.44,33.2,14.5
Grant Parish,664.65,34.7,13.8
Iberia Parish,1030.53,127.6,51.7
Iberville Parish,652.86,54,20.5
Jackson Parish,580.28,28.6,13.5
Jefferson Parish,665.42,1463.1,639.8
Jefferson Davis Parish,658.56,48.5,20.4
Lafayette Parish,269.21,824.6,348.5
Lafourche Parish,1474.31,90.2,36.1
La Salle Parish,662.39,23.8,10.5
Lincoln Parish,472.47,99.1,41.3
Livingston Parish,702.85,197.5,77.4
Madison Parish,650.9,19.4,7.7
Morehouse Parish,806.08,35.2,15.6
Natchitoches Parish,1298.99,31.6,14.8
Orleans Parish,350.21,2029.4,1120.8
Ouachita Parish,631.75,251.8,105.6
Plaquemines Parish,2567.2,29.5,12.3
Pointe Coupee Parish,590.71,40.9,20
Rapides Parish,1361.66,99.9,42.3
Red River Parish,402.34,23.4,10.6
Richland Parish,564.52,37.1,15.4
Sabine Parish,1011.62,28,16.3
St. Bernard Parish,2158.07,95.1,44.5
St. Charles Parish,410.63,189.1,71.3
St. Helena Parish,409.49,27.4,12.6
St. James Parish,257.96,91.5,35
St. John the Baptist Parish,347.64,215.5,82.2
St. Landry Parish,938.98,90.3,38.6
St. Martin Parish,816.49,70.7,29.7
St. Mary Parish,1119.42,98.4,41.5
St. Tammany Parish,1124.19,276.4,112.8
Tangipahoa Parish,823.27,153,63.3
Tensas Parish,641.19,8.7,5.6
Terrebonne Parish,2082.07,90.8,35.6
Union Parish,905.4,25.9,12.9
Vermilion Parish,1542.07,49.4,21.5
Vernon Parish,1341.48,39.4,16.1
Washington Parish,675.88,70.4,31.4
Webster Parish,614.84,69.5,32.6
West Baton Rouge Parish,203.82,123.6,48.5
West Carroll Parish,360.57,32.3,14
West Feliciana Parish,426,38.8,12.6
Winn Parish,956.82,16.1,7.6
Maine,35379.74,43.1,23.4
Androscoggin County,497.12,230.2,104.9
Aroostook County,6827.57,10.8,5.9
Cumberland County,1217.46,337.2,166
Franklin County,1743.48,18.1,12.8
Hancock County,2344.94,34.3,25.3
Kennebec County,951.17,140.8,70.3
Knox County,1143.95,108.8,65
Lincoln County,699.6,75.6,51.5
Oxford County,2175.72,27.8,17.4
Penobscot County,3557.08,45.3,21.7
Piscataquis County,4377.97,4.4,3.9
Sagadahoc County,370.04,139.1,72.1
Somerset County,4093.53,13.3,7.8
Waldo County,852.76,53.1,29.5
Washington County,3257.65,12.8,9
York County,1269.71,199,106.8
Maryland,12405.93,594.8,245.1
Allegany County,429.93,177,78.5
Anne Arundel County,587.8,1295.9,512.3
Baltimore County,681.76,1345.5,561
Calvert County,345.07,416.3,158.5
Caroline County,325.9,103.5,42.2
Carroll County,452.69,373.4,139.4
Cecil County,417.84,292,118.7
Charles County,642.97,320.2,120.1
Dorchester County,983,60.3,30.6
Frederick County,667.38,353.5,136.5
Garrett County,655.74,46.5,29.1
Harford County,526.64,560.1,218.6
Howard County,253.39,1144.9,435.8
Kent County,413.45,72.9,38.1
Montgomery County,506.95,1978.2,765.2
Prince George's County,498.84,1788.8,679.9
Queen Anne's County,510.69,128.5,54.2
St. Mary's County,764.25,294.4,115.6
Somerset County,610.35,82.8,34.8
Talbot County,476.81,140.7,72.9
Washington County,467.34,322.1,132.8
Wicomico County,400.24,263.7,110
Worcester County,694.86,109.9,119.1
Baltimore city,92.05,7671.5,3665.3
Massachusetts,10554.39,839.4,360
Barnstable County,1305.54,548.3,407.1
Berkshire County,946.43,141.6,73.9
Bristol County,691.23,991.3,416.8
Dukes County,490.96,160.2,166.5
Essex County,828.47,1508.8,622.8
Franklin County,724.57,102.1,48.3
Hampden County,634.25,751,311.4
Hampshire County,545.21,299.8,118.7
Middlesex County,847.06,1837.9,748.3
Nantucket County,303.66,226.2,258.4
Norfolk County,444.35,1693.6,682.5
Plymouth County,1093.25,750.9,303.7
Suffolk County,120.22,12415.6,5425.6
Worcester County,1579.19,528.6,216.3
Michigan,96713.51,174.8,80.2
Alcona County,1790.58,16.2,16.4
Alger County,5047.74,10.5,7.2
Allegan County,1833.29,135,59.9
Alpena County,1694.92,51.8,28.1
Antrim County,601.77,49.6,37.5
Arenac County,680.69,43.8,27
Baraga County,1068.77,9.9,5.9
Barry County,577.04,107,48.8
Bay County,630.72,243.7,109
Benzie County,859.57,54.8,38.2
Berrien County,1581.47,276.2,135.5
Branch County,519.68,89.4,41.2
Calhoun County,718.35,192.8,86.4
Cass County,508.32,106.7,52.8
Charlevoix County,1390.46,62.3,41.4
Cheboygan County,885.38,36.6,25.6
Chippewa County,2698.39,24.7,13.6
Clare County,575.34,54.8,41.2
Clinton County,574.56,133.1,54.2
Crawford County,563.24,25.3,19.9
Delta County,1991.32,31.7,17.3
Dickinson County,777.05,34.4,18.4
Eaton County,579.43,187.4,81.8
Emmet County,882,69.9,45.6
Genesee County,649.59,668.5,301.7
Gladwin County,515.93,51.2,35.2
Gogebic County,1476.34,14.9,9.8
Grand Traverse County,601.31,187.3,89.6
Gratiot County,571.61,74.7,28.7
Hillsdale County,607.01,78.1,36.4
Houghton County,1501.5,36.3,18.5
Huron County,2136.8,39.6,25.4
Ingham County,560.71,505.1,218.1
Ionia County,580.05,111.9,43.4
Iosco County,1890.06,47.1,37.2
Iron County,1211.21,10.1,7.9
Isabella County,577.68,122.8,49.6
Jackson County,723.5,228.4,99
Kalamazoo County,580.3,445.7,195.9
Kalkaska County,570.71,30.6,21.7
Kent County,871.94,711.5,291.5
Keweenaw County,5966.19,4,4.6
Lake County,574.28,20.3,26.4
Lapeer County,662.84,137.4,56.5
Leelanau County,2532.19,62.5,43
Lenawee County,761.41,133.3,58
Livingston County,585.4,320.2,128.8
Luce County,1912.49,7.4,4.8
Mackinac County,2100.64,10.9,10.8
Macomb County,570.85,1754.9,744.2
Manistee County,1280.56,45.6,28.9
Marquette County,3424.54,37.1,19
Mason County,1242.44,58,34.9
Mecosta County,571.19,77.1,38.1
Menominee County,1338.21,23,13.6
Midland County,528.07,162,69.7
Missaukee County,573.83,26.3,16.1
Monroe County,680.02,276.7,114.6
Montcalm County,720.83,89.8,40
Montmorency County,562.65,17.9,17.6
Muskegon County,1460.02,344.9,147.3
Newaygo County,861.69,59.6,30.8
Oakland County,907.29,1385.7,607.7
Oceana County,1305.95,51.9,31.1
Ogemaw County,574.95,38.5,28.5
Ontonagon County,3740.82,5.2,4.3
Osceola County,573.1,41.5,24.1
Oscoda County,571.58,15.3,16.1
Otsego County,526.19,46.9,28.6
Ottawa County,1631.41,468.2,181.9
Presque Isle County,2572.76,20.3,15.8
Roscommon County,580.03,47.1,47.1
Saginaw County,815.97,250.2,108.5
St. Clair County,836.51,226.1,99.6
St. Joseph County,521.03,122.4,55.5
Sanilac County,1589.94,44.8,23.6
Schoolcraft County,1883.98,7.2,5.4
Shiawassee County,540.95,133.1,57.1
Tuscola County,913.91,69.4,30.4
Van Buren County,1089.9,125.5,60.6
Washtenaw County,722.42,488.4,209
Wayne County,672.68,2974.4,1342.5
Wexford County,575.47,57.9,29.6
Minnesota,86935.83,66.6,29.5
Aitkin County,1995.29,8.9,8.8
Anoka County,446.11,782.1,299.5
Becker County,1445.18,24.7,14.3
Beltrami County,3055.76,17.7,8.2
Benton County,413.06,94.2,39.5
Big Stone County,528.12,10.6,6.2
Blue Earth County,765.59,85.6,35
Brown County,618.46,42.4,18.8
Carlton County,875.28,41.1,18.2
Carver County,376.11,256.9,97.5
Cass County,2414.11,14.1,12.3
Chippewa County,587.78,21.4,9.8
Chisago County,442.41,129.9,51
Clay County,1052.65,56.4,22.9
Clearwater County,1029.74,8.7,4.8
Cook County,3339.55,3.6,4
Cottonwood County,648.56,18.3,8.5
Crow Wing County,1156.53,62.6,40.2
Dakota County,586.87,709,283.9
Dodge County,439.59,45.7,18.1
Douglas County,720,56.5,31.2
Faribault County,721.9,20.4,10
Fillmore County,862.09,24.2,11.3
Freeborn County,722.42,44.2,20.1
Goodhue County,780.4,61,26.9
Grant County,575.48,11,6.1
Hennepin County,606.55,2081.7,920.3
Houston County,568.84,34.5,15.6
Hubbard County,999.56,22.1,15.8
Isanti County,451.66,86.8,35.2
Itasca County,2927.96,16.9,10.1
Jackson County,719.23,14.6,7.1
Kanabec County,533.68,31.1,15
Kandiyohi County,862.35,53,24.4
Kittson County,1103.6,4.1,2.4
Koochiching County,3154.02,4.3,2.5
Lac qui Parle County,778.01,9.5,4.8
Lake County,2990.63,5.2,3.6
Lake of the Woods County,1774.67,3.1,2.8
Le Sueur County,473.81,61.7,27.7
Lincoln County,548.43,11,5.8
Lyon County,721.67,36.2,15.5
McLeod County,505.53,74.6,32.1
Mahnomen County,582.91,9.7,5
Marshall County,1812.91,5.3,2.7
Martin County,729.58,29.3,14.1
Meeker County,644.78,38.3,17.6
Mille Lacs County,681.58,45.6,22.3
Morrison County,1153.39,29.5,14
Mower County,711.57,55.1,23.9
Murray County,719.5,12.4,6.5
Nicollet County,466.74,73,28.7
Nobles County,722.56,29.9,11.9
Norman County,876.73,7.9,3.9
Olmsted County,654.8,220.8,92.6
Otter Tail County,2224.54,29.1,18
Pennington County,618.25,22.6,10.2
Pine County,1434.56,21.1,12.2
Pipestone County,465.96,20.6,9.6
Polk County,1997.79,16,7.4
Pope County,717.1,16.4,9.6
Ramsey County,170.08,3341.6,1426.9
Red Lake County,432.5,9.5,4.5
Redwood County,881.75,18.3,8.3
Renville County,987.1,16,7.5
Rice County,515.94,129.4,49.3
Rock County,482.72,20.1,8.8
Roseau County,1678.14,9.3,4.5
St. Louis County,6859.5,32,16.5
Scott County,368.38,364.5,132.2
Sherburne County,451.04,204.4,74.8
Sibley County,600.52,25.9,11.2
Stearns County,1389.95,112.2,46.1
Steele County,432.34,85.1,35.7
Stevens County,575.32,17.3,7.4
Swift County,752.19,13.2,6.5
Todd County,979.5,26.3,13.7
Traverse County,585.85,6.2,3.6
Wabasha County,549.62,41.4,19.1
Wadena County,543.23,25.8,12.9
Waseca County,432.97,45.2,18.7
Washington County,422.74,619.7,240.4
Watonwan County,439.73,25.8,11.6
Wilkin County,751.17,8.8,4.1
Winona County,641.58,82.2,33.2
Wright County,714.27,188.5,74.1
Yellow Medicine County,763.23,13.8,6.3
Mississippi,48431.78,63.2,27.2
Adams County,487.55,69.8,31.7
Alcorn County,401.36,92.6,42.7
Amite County,731.6,18,9.1
Attala County,736.69,26.6,12.4
Benton County,408.65,21.5,10.3
Bolivar County,905.82,39,16.1
Calhoun County,587.96,25.5,11.8
Carroll County,634.59,16.9,8
Chickasaw County,504.25,34.7,15
Choctaw County,419.86,20.4,9.9
Claiborne County,501.2,19.7,8.7
Clarke County,693.53,24.2,11.4
Clay County,416.01,50.3,22.4
Coahoma County,583.15,47.3,19.5
Copiah County,779.46,37.9,15.7
Covington County,414.93,47.3,20.5
DeSoto County,497.01,338.7,129.4
Forrest County,470.23,160.7,69.2
Franklin County,566.76,14.4,7.4
George County,483.65,47.2,19.5
Greene County,718.7,20.2,7.2
Grenada County,449.4,51.9,24.1
Hancock County,552.5,92.7,46.1
Harrison County,976.17,326,148.4
Hinds County,877.29,282,118.9
Holmes County,764.62,25.4,11.1
Humphreys County,431.23,22.4,9.2
Issaquena County,441.43,3.4,1.4
Itawamba County,540.45,43.9,19
Jackson County,1043.4,193.2,83.1
Jasper County,677.47,25.2,12.1
Jefferson County,527.26,14.9,7.1
Jefferson Davis County,409.14,30.6,14.4
Jones County,699.71,97.5,40.9
Kemper County,767.02,13.6,6.2
Lafayette County,679.21,75,36
Lamar County,500.43,112,48.4
Lauderdale County,715.15,114.1,49.3
Lawrence County,435.77,30,14
Leake County,585.48,40.8,16.1
Lee County,453.17,184.3,79.7
Leflore County,606.38,54.5,22.3
Lincoln County,588.17,59.5,26
Lowndes County,516.46,118.3,52.5
Madison County,741.78,133.2,54
Marion County,548.62,49.9,21.8
Marshall County,709.77,52.6,21.1
Monroe County,772.1,48.3,21.5
Montgomery County,407.89,26.8,12.8
Neshoba County,571.61,52.1,21.7
Newton County,579.6,37.6,16.2
Noxubee County,699.98,16.6,7.4
Oktibbeha County,461.93,104,45.7
Panola County,705.13,50.7,21.5
Pearl River County,818.91,68.9,29.6
Perry County,650.2,18.9,8.5
Pike County,410.69,98.8,43.7
Pontotoc County,501.02,60.2,25
Prentiss County,418.2,60.9,26.6
Quitman County,406.43,20.3,8.9
Rankin County,806.09,182.6,72.8
Scott County,610.39,46.4,18.8
Sharkey County,435.12,11.4,4.9
Simpson County,590.47,46.7,20.3
Smith County,637.27,25.9,11.4
Stone County,448.08,39.9,16.1
Sunflower County,706.93,42.2,13.9
Tallahatchie County,652.14,23.8,8.6
Tate County,410.97,71.4,27
Tippah County,459.95,48.6,21.2
Tishomingo County,444.52,46.2,24.3
Tunica County,480.73,23.7,10.6
Union County,416.91,65.3,27.7
Walthall County,404.41,38.2,17.7
Warren County,618.55,82.9,37.2
Washington County,761.23,70.6,30
Wayne County,813.52,25.6,11.4
Webster County,423.23,24.4,11.4
Wilkinson County,687.77,14.6,7.4
Winston County,610.09,31.6,14.4
Yalobusha County,495,27.1,13.6
Yazoo County,934.27,30.4,10.9
Missouri,69706.99,87.1,39.5
Adair County,569.44,45.1,19.9
Andrew County,436.43,40,16.9
Atchison County,550.13,10.4,5.5
Audrain County,696.82,36.9,15.7
Barry County,790.97,45.7,22.5
Barton County,596.72,21,9.5
Bates County,851.38,20.4,9.4
Benton County,752.55,27.1,20.1
Bollinger County,621.2,20,9.5
Boone County,690.98,237.3,101.5
Buchanan County,414.66,218.6,94.2
Butler County,698.99,61.6,28.4
Caldwell County,429.64,22.1,10.8
Callaway County,847.36,53.1,22.2
Camden County,708.64,67.1,62.8
