GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.rank-label,GC_RANK.display-label,GC_RANK.display-label,rescensus42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0100000US,,United States,1620000US3240000,3240000,28,"United States - Las Vegas city, Nevada","Las Vegas city, Nevada",583756,584509,584606,586635,593411,599777,608275,617840,626950,635628,644644
0100000US,,United States,1620000US2148006,2148006,29,"United States - Louisville/Jefferson County metro government (balance), Kentucky","Louisville/Jefferson County metro government (balance), Kentucky",597337,595386,596155,599637,604110,610339,612509,615247,617462,619848,620118
0100000US,,United States,1620000US2404000,2404000,30,"United States - Baltimore city, Maryland","Baltimore city, Maryland",620961,620862,621005,620442,622973,622497,623165,622150,615849,609841,602495
0100000US,,United States,1620000US5553000,5553000,31,"United States - Milwaukee city, Wisconsin","Milwaukee city, Wisconsin",594833,594511,594881,597056,598581,599965,600743,600627,597123,593905,592025
0100000US,,United States,1620000US3502000,3502000,32,"United States - Albuquerque city, New Mexico","Albuquerque city, New Mexico",545852,546191,546806,552095,555106,557619,557702,558325,559626,560111,560218
0100000US,,United States,1620000US0477000,477000,33,"United States - Tucson city, Arizona","Tucson city, Arizona",520116,526635,527167,530624,531817,532956,534870,535772,537831,541779,545975
0100000US,,United States,1620000US0627000,627000,34,"United States - Fresno city, California","Fresno city, California",494665,497102,497721,501413,505521,509104,514452,518670,521986,526037,530093
0100000US,,United States,1620000US0446000,446000,35,"United States - Mesa city, Arizona","Mesa city, Arizona",439041,440084,440995,447681,457061,464980,473390,482108,491041,500395,508958
0100000US,,United States,1620000US0664000,664000,36,"United States - Sacramento city, California","Sacramento city, California",466488,466390,467302,470914,474309,478360,483006,488353,494324,500944,508529
0100000US,,United States,1620000US1304000,1304000,37,"United States - Atlanta city, Georgia","Atlanta city, Georgia",420003,426821,429193,437563,448799,453791,460998,468707,478916,491763,498044
0100000US,,United States,1620000US2938000,2938000,38,"United States - Kansas City city, Missouri","Kansas City city, Missouri",459787,459937,460737,462356,464607,467243,470678,475069,481626,488266,491918
0100000US,,United States,1620000US0816000,816000,39,"United States - Colorado Springs city, Colorado","Colorado Springs city, Colorado",416427,417433,420544,427248,432611,437981,441960,449189,458531,465160,472688
