City,State,UGB,1 unit,2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 to 49 units,50 or more units,Other,Total Response,Median Housing Costs,MOE Housing Costs
Greensboro,North Carolina,No,80278,2619,6528,16900,12985,6803,4916,1692,132721,896,22
Anchorage,Alaska,No,73316,6569,11792,6962,4577,6620,2842,5555,118233,1487,54
Plano,Texas,No,71557,532,2181,5155,13602,4670,12078,464,110239,1503,43
Lincoln,Nebraska,No,79190,4052,4718,6793,9574,8981,7051,1946,122305,945,25
Orlando,Florida,No,55841,3329,8459,15105,23296,14423,16162,665,137280,1204,28
Irvine,California,No,58621,1926,4969,7846,7019,6691,20159,1232,108463,2445,68
Newark,New Jersey,No,26573,20039,27808,7965,7694,6562,17420,0,114061,1179,29
Toledo,Ohio,No,93133,7537,5866,7233,8806,5941,7266,3133,138915,717,19
Durham,North Carolina,No,77350,2188,5218,11013,13205,6387,6210,1243,122814,1102,27
Chula Vista,California,No,57504,680,4278,3540,3868,4748,6147,4343,85108,1895,91
Fort Wayne,Indiana,No,81244,4117,5766,7268,6267,4318,4056,2350,115386,752,16
Jersey City,New Jersey,No,13522,26580,12196,12024,7841,10172,28466,0,110801,1597,43
St. Petersburg,Florida,No,77103,3277,6547,6311,12521,10574,14345,3905,134583,1090,38
Laredo,Texas,No,53982,1435,4505,3048,3152,2847,3434,6198,78601,866,32
Madison,Wisconsin,No,53318,5513,6455,10024,8788,16659,15085,774,116616,1212,30
Chandler,Arizona,No,73437,886,3633,8648,3079,1619,4430,1969,97701,1325,34
Buffalo,New York,No,50190,49150,10724,5151,3235,4251,7754,312,130767,748,16
Lubbock,Texas,No,74270,2894,6002,4784,7873,5621,6239,1990,109673,951,32
Scottsdale,Arizona,No,92381,988,6309,8892,7822,4303,19711,923,141329,1408,45
Reno,Nevada,No,63370,3198,7313,11932,8245,5384,10332,4443,114217,1133,29
Glendale,Arizona,No,57011,636,4403,4723,7727,2578,7609,5361,90048,1019,34
Gilbert,Arizona,No,74860,414,292,2638,1465,1263,1654,326,82912,1577,35
Winston-Salem,North Carolina,No,70498,2325,5287,9710,11991,3163,4558,2940,110472,816,25
North Las Vegas,Nevada,No,66203,1297,5455,2920,4135,1892,1596,750,84248,1210,32
Norfolk,Virginia,No,52245,6597,8224,11414,6596,4399,7982,761,98218,1103,30
Chesapeake,Virginia,No,73805,1034,3900,4132,3025,2173,2027,1687,91783,1399,56
Garland,Texas,No,58401,713,1930,4280,7608,2662,1909,123,77626,1140,33
Irving,Texas,No,37078,1231,4943,11018,16030,9229,11853,1045,92427,1223,29
Hialeah,Florida,No,35501,1460,4646,5775,7052,10017,9785,946,75182,1118,38
Fremont,California,No,57268,993,2858,3226,3716,4666,8808,983,82518,2474,80
Boise City,Idaho,No,72657,2673,6185,3401,3351,3681,6453,3800,102201,1009,34
Richmond,Virginia,No,55950,4017,6460,11326,5008,4733,13083,504,101081,1066,29
Baton Rouge,Louisiana,No,64742,2708,6803,4115,6497,6628,13240,1049,105782,857,28
Spokane,Washington,No,67237,4234,4155,4937,7223,4426,5771,1348,99331,981,28
