ID,Rank,City,State,2010 Census,2011_Estimate,2012_Estimate,2013_Estimate,2014_Estimate,2015_Estimate,2016_Estimate,2017_Estimate,2018_Estimate
2743000,46,Minneapolis,Minnesota,382578,388022,392775,400108,407122,411150,415239,421072,425403
4075000,47,Tulsa,Oklahoma ,391906,393111,394875,398649,400162,403733,404182,402119,400669
4804000,48,Arlington,Texas,365438,370485,375906,379266,383074,389101,394780,397105,398112
1271000,49,Tampa,Florida,335709,346778,348655,352426,358754,367413,376170,386577,392890
2255000,50,New Orleans,Louisiana,343829,360686,369761,378623,383930,389791,391977,391538,391006
2079000,51,Wichita,Kansas,382368,383729,385753,387240,388465,389437,390549,390307,389255
3916000,52,Cleveland,Ohio,396815,392594,391500,391759,390850,389248,387708,385428,383793
603526,53,Bakersfield,California,347483,353640,357858,363449,367705,372295,375844,379171,383579
804000,54,Aurora,Colorado,325078,332627,339080,345276,352391,359679,362941,367255,374114
602000,55,Anaheim,California,336265,340202,342526,344369,345223,348967,350848,351301,352005
1571550,56,Honolulu,Hawaii,337256,343040,346868,349275,349627,351684,351883,349651,347397
669000,57,Santa Ana,California,324528,328255,330650,333887,333669,333736,334175,333007,332725
662000,58,Riverside,California,303871,309556,312432,315667,317887,320673,323877,326988,330063
4817000,59,Corpus Christi,Texas,305215,308096,312415,317101,320863,324795,325947,325373,326554
2146027,60,Lexington,Kentucky,295803,301736,306075,310010,311955,316002,319738,322193,323780
675000,61,Stockton,California,291707,294922,296666,297172,300670,303926,306407,309316,311178
3231900,62,Henderson,Nevada,257729,258834,263409,268450,274474,282423,289784,299631,310390
2758000,63,St. Paul,Minnesota,285068,288812,291244,295045,297674,300010,303155,305255,307695
2965000,64,St. Louis,Missouri ,319294,319294,319387,318459,317395,315878,312389,307866,302838
3915000,65,Cincinnati,Ohio,296943,296020,296758,297775,298509,299338,299707,301648,302605
4261000,66,Pittsburgh,Pennsylvania,305704,306107,306470,307022,306092,304211,304814,301720,301048
3728000,67,Greensboro,North Carolina,269666,272396,276024,279244,282275,284808,289597,292209,294722
203000,68,Anchorage,Alaska,291826,296154,298233,301155,299927,297613,297216,294264,291538
4858016,69,Plano,Texas,259841,266963,272240,274587,278062,283416,286576,286815,288061
3128000,70,Lincoln,Nebraska,258379,262466,265663,268937,273945,277178,281254,284506,287401
1253000,71,Orlando,Florida,238300,243585,249930,255156,262507,270622,278130,281143,285713
636770,72,Irvine,California,212375,220261,229083,236134,247283,255614,265721,276413,282572
3451000,73,Newark,New Jersey,277140,277540,277590,278152,278991,279629,280628,281014,282090
3977000,74,Toledo,Ohio,287208,285347,283129,282303,280672,279816,278780,276618,274975
3719000,75,Durham,North Carolina,228330,235308,241107,247002,253316,258581,265355,269578,274291
613392,76,Chula Vista,California,243916,248339,252457,256819,260069,264490,266610,269429,271651
1825000,77,Fort Wayne,Indiana,253691,256253,257615,259354,260614,262235,263777,265455,267633
3436000,78,Jersey City,New Jersey,247597,252910,256148,257243,258794,260332,260626,263401,265549
1263000,79,St. Petersburg,Florida,244769,245856,246671,248492,252282,255206,259556,262928,265098
4841464,80,Laredo,Texas,236091,241266,245877,249822,253017,255538,258102,259634,261639
5548000,81,Madison,Wisconsin,233209,236877,239872,243246,245870,248714,252485,255473,258054
412000,82,Chandler,Arizona,236123,236854,237677,239900,240893,243679,247845,253600,257165
3611000,83,Buffalo,New York,261310,260706,260176,260041,259584,258339,256960,256430,256304
4845000,84,Lubbock,Texas,229573,233601,236055,239411,244071,247644,251086,253555,255885
465000,85,Scottsdale,Arizona,217385,220792,225213,228952,234053,241197,248100,251556,255310
3260600,86,Reno,Nevada,225221,227160,229069,231161,234301,238335,242476,247106,250998
427820,87,Glendale,Arizona,226721,229233,233564,236885,240020,243184,246000,247899,250702
427400,88,Gilbert,Arizona,208453,211418,215880,221598,227294,232401,237137,242465,248279
3775000,89,Winston-Salem,North Carolina,229617,231847,233867,235741,238508,239696,241656,244373,246328
3251800,90,North Las Vegas,Nevada,216961,218302,221910,225435,228806,232689,236694,240681,245949
5157000,91,Norfolk,Virginia,242803,243632,246141,245449,246587,246534,245843,244922,244076
5116000,92,Chesapeake,Virginia,222209,225332,228075,230330,233380,235168,237591,240327,242634
4829000,93,Garland,Texas,226876,230078,233775,234783,235761,237331,236500,238560,242507
4837000,94,Irving,Texas,216290,219877,225812,229053,232736,237358,240086,240834,242242
1230000,95,Hialeah,Florida,224669,230396,232730,234616,235145,236339,236886,239019,238942
626000,96,Fremont,California,214089,217400,221479,224888,228397,231697,233378,234237,237807
1608830,97,Boise City,Idaho,205671,212620,215681,217436,219471,220938,224728,227621,228790
5167000,98,Richmond,Virginia,204214,206325,210741,213815,217003,220847,225332,226968,228783
2205000,99,Baton Rouge,Louisiana,229493,228595,228834,228280,227774,227044,226397,223948,221599
5367000,100,Spokane,Washinton,208916,208949,209294,209745,210612,212179,214990,217028,219190
